Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
19:46:52 09.13.2022
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),6.853543,AUTO
Start Frequency,+1.000000000e+05
Stop Frequency,+1.500000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+02,MAN
VBW,+1.000000000e+02,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+05,-4.058833313e+01,
+1.323913043e+05,-4.104273987e+01,
+1.647826087e+05,-4.235440063e+01,
+1.971739130e+05,-4.196969604e+01,
+2.295652174e+05,-4.131396866e+01,
+2.619565217e+05,-4.191302872e+01,
+2.943478261e+05,-4.477341080e+01,
+3.267391304e+05,-4.342251968e+01,
+3.591304348e+05,-4.234753418e+01,
+3.915217391e+05,-4.348202133e+01,
+4.239130435e+05,-4.343999100e+01,
+4.563043478e+05,-4.223044968e+01,
+4.886956522e+05,-4.418742371e+01,
+5.210869565e+05,-4.405753708e+01,
+5.534782609e+05,-4.314841843e+01,
+5.858695652e+05,-4.275545120e+01,
+6.182608696e+05,-4.144669724e+01,
+6.506521739e+05,-4.038143539e+01,
+6.830434783e+05,-4.154608536e+01,
+7.154347826e+05,-3.900273895e+01,
+7.478260870e+05,-3.854163361e+01,
+7.802173913e+05,-3.534113693e+01,
+8.126086957e+05,-3.690186310e+01,
+8.450000000e+05,-3.553404236e+01,
+8.773913043e+05,-3.404601669e+01,
+9.097826087e+05,-3.272783279e+01,
+9.421739130e+05,-3.053096008e+01,
+9.745652174e+05,-3.084330368e+01,
+1.006956522e+06,-2.164974594e+01,
+1.039347826e+06,-3.406745911e+01,
+1.071739130e+06,-3.763250732e+01,
+1.104130435e+06,-3.866907501e+01,
+1.136521739e+06,-4.181089401e+01,
+1.168913043e+06,-4.206687546e+01,
+1.201304348e+06,-4.498984909e+01,
+1.233695652e+06,-4.458285522e+01,
+1.266086957e+06,-4.111534882e+01,
+1.298478261e+06,-4.476906204e+01,
+1.330869565e+06,-4.868546677e+01,
+1.363260870e+06,-4.317701340e+01,
+1.395652174e+06,-4.899273682e+01,
+1.428043478e+06,-4.922644806e+01,
+1.460434783e+06,-4.909411621e+01,
+1.492826087e+06,-4.995066071e+01,
+1.525217391e+06,-4.590376663e+01,
+1.557608696e+06,-5.247969437e+01,
+1.590000000e+06,-5.017366791e+01,
+1.622391304e+06,-5.214957809e+01,
+1.654782609e+06,-5.240083694e+01,
+1.687173913e+06,-5.364361954e+01,
+1.719565217e+06,-5.299028397e+01,
+1.751956522e+06,-5.119978714e+01,
+1.784347826e+06,-5.434852219e+01,
+1.816739130e+06,-5.325236511e+01,
+1.849130435e+06,-4.971426392e+01,
+1.881521739e+06,-5.119675827e+01,
+1.913913043e+06,-5.246295547e+01,
+1.946304348e+06,-5.546403503e+01,
+1.978695652e+06,-5.535036087e+01,
+2.011086957e+06,-4.209821320e+01,
+2.043478261e+06,-5.488289642e+01,
+2.075869565e+06,-5.402848816e+01,
+2.108260870e+06,-5.713171768e+01,
+2.140652174e+06,-5.656040573e+01,
+2.173043478e+06,-5.503163528e+01,
+2.205434783e+06,-5.542869186e+01,
+2.237826087e+06,-4.745248032e+01,
+2.270217391e+06,-5.804628754e+01,
+2.302608696e+06,-5.860284042e+01,
+2.335000000e+06,-5.669678879e+01,
+2.367391304e+06,-5.789454651e+01,
+2.399782609e+06,-5.085220718e+01,
+2.432173913e+06,-5.778791046e+01,
+2.464565217e+06,-5.767466736e+01,
+2.496956522e+06,-5.759912491e+01,
+2.529347826e+06,-5.947504044e+01,
+2.561739130e+06,-5.357571411e+01,
+2.594130435e+06,-5.895170593e+01,
+2.626521739e+06,-5.979382706e+01,
+2.658913043e+06,-5.817635727e+01,
+2.691304348e+06,-5.931930923e+01,
+2.723695652e+06,-5.833001328e+01,
+2.756086957e+06,-5.867339325e+01,
+2.788478261e+06,-5.459169769e+01,
+2.820869565e+06,-5.900613022e+01,
+2.853260870e+06,-5.766404343e+01,
+2.885652174e+06,-5.914778900e+01,
+2.918043478e+06,-5.858803558e+01,
+2.950434783e+06,-5.957791138e+01,
+2.982826087e+06,-5.215751648e+01,
+3.015217391e+06,-3.661977386e+01,
+3.047608696e+06,-5.902972412e+01,
+3.080000000e+06,-5.948112488e+01,
+3.112391304e+06,-5.848140717e+01,
+3.144782609e+06,-5.923788452e+01,
+3.177173913e+06,-5.923440552e+01,
+3.209565217e+06,-5.990238953e+01,
+3.241956522e+06,-6.015270233e+01,
+3.274347826e+06,-5.897341156e+01,
+3.306739130e+06,-4.754661942e+01,
+3.339130435e+06,-6.037448120e+01,
+3.371521739e+06,-6.014415741e+01,
+3.403913043e+06,-5.734866333e+01,
+3.436304348e+06,-5.962063599e+01,
+3.468695652e+06,-5.992584229e+01,
+3.501086957e+06,-5.874028778e+01,
+3.533478261e+06,-5.856827545e+01,
+3.565869565e+06,-6.048624420e+01,
+3.598260870e+06,-5.858652496e+01,
+3.630652174e+06,-4.938565063e+01,
+3.663043478e+06,-5.938064575e+01,
+3.695434783e+06,-5.982341766e+01,
+3.727826087e+06,-5.911119461e+01,
+3.760217391e+06,-6.009405136e+01,
+3.792608696e+06,-5.817914581e+01,
+3.825000000e+06,-5.803273773e+01,
+3.857391304e+06,-6.037191391e+01,
+3.889782609e+06,-5.892953110e+01,
+3.922173913e+06,-5.732806396e+01,
+3.954565217e+06,-5.799207306e+01,
+3.986956522e+06,-4.979371643e+01,
+4.019347826e+06,-4.248542786e+01,
+4.051739130e+06,-5.811643219e+01,
+4.084130435e+06,-5.809881592e+01,
+4.116521739e+06,-5.722587967e+01,
