Machine Module,N9343C,CN06050179
MCU Version,A.06.27
DSP Version,A.04.00.11 SA
FPGA Version,A.02.80
19:47:34 09.13.2022
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,461
Sweep Time(s),0.149537,AUTO
Start Frequency,+1.000000000e+05
Stop Frequency,+1.500000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+1.000000000e+03,MAN
VBW,+1.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+0.000000000e+00
Attenuation,20,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+2.280000000e-03
Gate Length,+8.400000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+3.120000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
CISPR Filter,Normal RBW,Dwell Time(s),0.500000,AUTO
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Clear Write,
Trace Detector,Pos Peak,
Trace Data
+1.000000000e+05,-3.532217407e+01,
+1.323913043e+05,-3.312694550e+01,
+1.647826087e+05,-3.303560638e+01,
+1.971739130e+05,-3.422468185e+01,
+2.295652174e+05,-3.531924438e+01,
+2.619565217e+05,-3.270396805e+01,
+2.943478261e+05,-3.450021744e+01,
+3.267391304e+05,-3.684601212e+01,
+3.591304348e+05,-3.527944183e+01,
+3.915217391e+05,-3.438267899e+01,
+4.239130435e+05,-3.665466309e+01,
+4.563043478e+05,-3.233396149e+01,
+4.886956522e+05,-3.578810883e+01,
+5.210869565e+05,-3.519597244e+01,
+5.534782609e+05,-3.329244232e+01,
+5.858695652e+05,-3.582105637e+01,
+6.182608696e+05,-3.263550186e+01,
+6.506521739e+05,-3.400869370e+01,
+6.830434783e+05,-3.432120895e+01,
+7.154347826e+05,-3.385138702e+01,
+7.478260870e+05,-2.993545532e+01,
+7.802173913e+05,-2.744091415e+01,
+8.126086957e+05,-2.772797394e+01,
+8.450000000e+05,-2.565423203e+01,
+8.773913043e+05,-2.444805145e+01,
+9.097826087e+05,-2.354285812e+01,
+9.421739130e+05,-2.064025116e+01,
+9.745652174e+05,-2.537205887e+01,
+1.006956522e+06,-2.517116547e+01,
+1.039347826e+06,-2.752122116e+01,
+1.071739130e+06,-2.982408142e+01,
+1.104130435e+06,-3.219961548e+01,
+1.136521739e+06,-3.375404358e+01,
+1.168913043e+06,-3.561138153e+01,
+1.201304348e+06,-3.510556793e+01,
+1.233695652e+06,-3.537786484e+01,
+1.266086957e+06,-3.595876312e+01,
+1.298478261e+06,-3.621617889e+01,
+1.330869565e+06,-4.041796875e+01,
+1.363260870e+06,-3.924271774e+01,
+1.395652174e+06,-3.853697205e+01,
+1.428043478e+06,-4.172537231e+01,
+1.460434783e+06,-4.219549561e+01,
+1.492826087e+06,-4.146107483e+01,
+1.525217391e+06,-4.405448914e+01,
+1.557608696e+06,-4.191400909e+01,
+1.590000000e+06,-4.604328918e+01,
+1.622391304e+06,-4.260996246e+01,
+1.654782609e+06,-4.296911621e+01,
+1.687173913e+06,-4.562610626e+01,
+1.719565217e+06,-4.718675995e+01,
+1.751956522e+06,-4.501873016e+01,
+1.784347826e+06,-4.464080048e+01,
+1.816739130e+06,-4.671429443e+01,
+1.849130435e+06,-4.632692719e+01,
+1.881521739e+06,-4.822389984e+01,
+1.913913043e+06,-4.356413269e+01,
+1.946304348e+06,-4.483110809e+01,
+1.978695652e+06,-4.415390778e+01,
+2.011086957e+06,-3.162874413e+01,
+2.043478261e+06,-4.919760513e+01,
+2.075869565e+06,-4.605961227e+01,
+2.108260870e+06,-4.764571762e+01,
+2.140652174e+06,-4.672647095e+01,
+2.173043478e+06,-4.728183746e+01,
+2.205434783e+06,-5.013151932e+01,
+2.237826087e+06,-4.950124359e+01,
+2.270217391e+06,-4.909620285e+01,
+2.302608696e+06,-4.933993912e+01,
+2.335000000e+06,-4.931752777e+01,
+2.367391304e+06,-4.846092224e+01,
+2.399782609e+06,-5.015179443e+01,
+2.432173913e+06,-5.050094986e+01,
+2.464565217e+06,-5.076237488e+01,
+2.496956522e+06,-5.004545212e+01,
+2.529347826e+06,-5.017438507e+01,
+2.561739130e+06,-4.847467041e+01,
+2.594130435e+06,-5.095468140e+01,
+2.626521739e+06,-5.218082809e+01,
+2.658913043e+06,-4.877357101e+01,
+2.691304348e+06,-5.187422180e+01,
+2.723695652e+06,-5.164124298e+01,
+2.756086957e+06,-5.169414520e+01,
+2.788478261e+06,-4.968897247e+01,
+2.820869565e+06,-5.149887848e+01,
+2.853260870e+06,-5.160763550e+01,
+2.885652174e+06,-5.228456497e+01,
+2.918043478e+06,-5.216827774e+01,
+2.950434783e+06,-5.250362778e+01,
+2.982826087e+06,-5.065769196e+01,
+3.015217391e+06,-3.553174591e+01,
+3.047608696e+06,-5.088795090e+01,
+3.080000000e+06,-5.243402100e+01,
+3.112391304e+06,-5.311151505e+01,
+3.144782609e+06,-4.948661423e+01,
+3.177173913e+06,-4.518674850e+01,
+3.209565217e+06,-5.338760376e+01,
+3.241956522e+06,-4.844588089e+01,
+3.274347826e+06,-5.101123428e+01,
+3.306739130e+06,-5.202547836e+01,
+3.339130435e+06,-5.013995743e+01,
+3.371521739e+06,-5.039500046e+01,
+3.403913043e+06,-5.141256714e+01,
+3.436304348e+06,-5.295668030e+01,
+3.468695652e+06,-5.151354980e+01,
+3.501086957e+06,-5.149681854e+01,
+3.533478261e+06,-5.268506241e+01,
+3.565869565e+06,-5.220431519e+01,
+3.598260870e+06,-5.128851700e+01,
+3.630652174e+06,-4.727250671e+01,
+3.663043478e+06,-5.044142532e+01,
+3.695434783e+06,-5.214432526e+01,
+3.727826087e+06,-5.077876282e+01,
+3.760217391e+06,-5.027737808e+01,
+3.792608696e+06,-5.170306778e+01,
+3.825000000e+06,-4.919383621e+01,
+3.857391304e+06,-5.187863922e+01,
+3.889782609e+06,-5.101844025e+01,
+3.922173913e+06,-5.126356506e+01,
+3.954565217e+06,-5.075432205e+01,
+3.986956522e+06,-4.860663986e+01,
+4.019347826e+06,-4.467670441e+01,
+4.051739130e+06,-4.996257019e+01,
+4.084130435e+06,-4.861095047e+01,
+4.116521739e+06,-4.996160126e+01,
