1,2,3,4,5,6,7
0,0,0,0,0,0,0
0.42453,0.16981,0.12264,0,0.16981,0.24528,0.35849
0.45536,0.19643,0.125,0.24107,0.17857,0.24107,0.38393
0.43878,0.091837,0.071429,0.10204,0.16327,0.2551,0.43878
0.53774,0.27358,0.12264,0.11321,0.14151,0.20755,0.36792
0.45263,0.23158,0.18947,0.24211,0.33684,0.27368,0.34737
0.81319,0.56044,0.40659,0.38462,0.49451,0.53846,0.50549
0,0,0,0,0,0,0
0.0046851,0.0057453,0.0059242,0.0058228,0.0061721,0.0056471,0.0058502
0.0044664,0.0058517,0.006356,0.0053926,0.0060181,0.0051193,0.0056527
0.0050897,0.0062314,0.0067543,0.0061277,0.0063351,0.0057333,0.0063979
0.0047259,0.0057544,0.0059242,0.0061513,0.0061676,0.0059262,0.0062882
0.0052673,0.0065956,0.0077222,0.0069884,0.0071377,0.0064125,0.0066518
0.0043068,0.0073641,0.0081871,0.0081528,0.0077486,0.0077371,0.0082517
